X	Y
0.316953	1.45E-04
0.398046	-0.00256236
0.456875	0.0276532
0.545327	0.0276937
0.633766	0.0304786
0.722243	0.0250302
0.781098	0.0497569
0.869309	0.101941
0.950251	0.132167
1.03859	0.156907
1.11219	0.181641
1.18588	0.184419
1.27435	0.181715
1.34758	0.286037
1.4359	0.313521
1.49439	0.417836
1.58949	0.574312
1.66261	0.703333
1.74308	0.835103
1.82949	1.27974
1.89523	1.40876
1.99119	1.37861
2.06526	1.3018
2.14704	1.14815
2.23767	0.676152
2.2977	0.445648
2.38687	0.289256
2.46845	0.182261
2.55	0.0807547
2.62382	0.0560887
2.69764	0.0314226
2.7861	0.0314631
2.86733	-0.0014329
2.94842	-0.00414023

