X	Y
1.35628	0.00134757
1.42259	0.00208301
1.50365	0.00750687
1.59212	0.00473624
1.65842	0.0128972
1.74684	0.0183177
1.8205	0.0292057
1.90155	0.0373599
1.9826	0.0427838
2.07103	0.0482043
2.15206	0.0590889
2.23306	0.0781647
2.30663	0.108165
2.38747	0.160006
2.46815	0.247341
2.55608	0.359246
2.62177	0.501196
2.70206	0.673173
2.78228	0.858802
2.86254	1.03897
2.95031	1.18637
3.01619	1.28463
3.09725	1.29006
3.17873	1.20265
3.26055	1.04425
3.34997	0.83397
3.41739	0.599127
3.5068	0.391578
3.58862	0.230449
3.67759	0.118463
3.73687	0.0501766
3.83286	0.0146381
3.91398	0.00641002
3.98772	0.00181466
4.07619	0.0045853
4.14251	0.0018851
