X	Y
0.78324	-2.39E-03
0.864521	-0.00234899
0.945802	-0.00231181
1.02731	0.0471251
1.10869	0.0691178
1.18271	0.0965959
1.26398	0.0938886
1.3455	0.14607
1.41917	0.096704
1.50045	0.0967412
1.5816	0.0693341
1.66301	0.0968156
1.74415	0.066664
1.83283	0.069449
1.89946	0.0969237
1.98105	0.162827
2.07017	0.261667
2.15197	0.374226
2.23413	0.563629
2.30855	0.678929
2.38331	0.865584
2.47228	0.931491
2.55508	1.26086
2.62202	1.3542
2.71114	1.45304
2.79154	1.26097
2.87218	1.12378
2.9587	0.657271
3.03127	0.371884
3.11139	0.119433
3.19234	0.0481154
3.26599	-0.00399497
3.35466	-0.00395441
3.42857	-0.00117618
